season,local_hour,n,mean,std,q0010,q0025,q0050,q0100,q0150,q0200,q0250,q0300,q0400,q0500,q0600,q0700,q0750,q0800,q0850,q0900,q0950,q0975,q0990
JJA,14,263,-0.03281955733498692,1.1512870975908875,-3.04393310546875,-2.6401393890380858,-2.0183944702148438,-1.3101913452148437,-1.027142333984375,-0.7940536499023437,-0.6270523071289062,-0.49180755615234373,-0.24509582519531242,0.0005950927734375,0.26600799560546856,0.564350891113281,0.7021636962890625,0.8536331176757818,1.0179840087890624,1.2984771728515627,1.8028129577636713,2.0480949401855466,2.464600524902343
JJA,15,284,-0.05489535694390953,1.1661620065840537,-3.267645950317383,-2.456142234802246,-2.028194808959961,-1.389672088623047,-1.035394287109375,-0.8940216064453125,-0.7634181976318359,-0.5624740600585938,-0.2256134033203125,0.0244903564453125,0.2535858154296874,0.509174346923828,0.6490535736083984,0.7835998535156251,0.9971858978271484,1.2269165039062502,1.7928188323974537,2.0876405715942385,2.4877514648437518
JJA,16,319,-0.15321975468841836,1.1709690610866477,-3.463500518798828,-2.8077022552490236,-1.9038940429687499,-1.5287612915039062,-1.133831787109375,-0.9451797485351562,-0.8400769042968719,-0.6771209716796875,-0.38951873779296875,-0.1129626464843767,0.10010375976562497,0.35147094726562494,0.5393333435058594,0.7256790161132812,0.9012901306152347,1.256396484375,1.620402526855467,2.1001617431640627,2.6038368225097646
JJA,17,332,-0.12905504893107586,1.2055251001350915,-3.2898017883300783,-2.535208320617676,-2.059187316894531,-1.6101112365722656,-1.29949951171875,-1.0653610229492188,-0.7989959716796875,-0.6766380310058594,-0.34859008789062496,-0.15062332153320312,0.15762023925781246,0.4606880187988279,0.5698413848876953,0.7940338134765628,0.9505500793457028,1.188889312744141,1.7904666900634763,2.254418563842773,2.7426898956298826
JJA,18,359,-0.1346133584365207,1.1999944094020272,-3.0801751708984373,-2.524423599243164,-1.9312789916992186,-1.5438125610351563,-1.2448722839355468,-1.030657958984375,-0.8341331481933594,-0.6384475708007814,-0.4051071166992187,-0.13265228271484375,0.1033920288085937,0.40281372070312493,0.49341583251953125,0.7078979492187509,0.9276565551757814,1.2150405883789062,1.883231353759765,2.4082668304443366,2.7585554504394567
JJA,19,364,-0.1594838178026807,1.3107803551709636,-3.3099403381347656,-2.4735408782958985,-2.0651092529296875,-1.5304901123046872,-1.3242504119873046,-1.0585876464843749,-0.8918380737304688,-0.772344207763672,-0.5385589599609375,-0.251665802001952,-0.018385314941406303,0.31671066284179683,0.5437545776367188,0.7614395141601573,0.9343494415283206,1.425370788574218,1.81306037902832,2.196436500549318,4.449304885864258
JJA,20,356,-0.05008939678749342,1.4313944056466876,-3.1196460723876953,-2.707789421081543,-2.2666568756103516,-1.7558670043945312,-1.3873252868652344,-1.0708236694335938,-0.8498210906982422,-0.6999855041503906,-0.3877716064453125,-0.084442138671875,0.20790863037109375,0.52484130859375,0.6800575256347656,0.87481689453125,1.1334896087646484,1.4909820556640625,2.334390640258789,2.972651481628418,4.320514297485348
JJA,21,379,-0.07434001348893057,1.5826524003073872,-3.497985076904297,-2.9656333923339844,-2.5625709533691405,-2.085736083984375,-1.5167098999023438,-1.2305694580078124,-0.9605026245117188,-0.8103515625000001,-0.5328735351562487,-0.05279541015625,0.2155731201171875,0.6098373413085937,0.7944564819335938,1.0196380615234386,1.277340698242188,1.72669677734375,2.1605018615722646,2.907119369506838,4.10437133789062
JJA,22,379,-0.1794758368419154,1.7148558077756824,-3.6545817565917966,-3.255361557006836,-2.7103614807128906,-2.2025985717773438,-1.7639831542968751,-1.4982452392578125,-1.2127876281738281,-1.019560241699219,-0.6500717163085937,-0.30382537841796875,0.08926086425781235,0.5700454711914061,0.7907600402832031,1.026603698730469,1.3141363830566364,1.8234191894531246,2.6753837585449167,3.5327812194824237,4.995595092773434
JJA,23,379,-0.2414117246441602,1.744620651642987,-3.6455152893066405,-3.2440765380859373,-3.026103210449219,-2.406825256347656,-1.9890403747558594,-1.6647094726562497,-1.3345489501953125,-1.1150466918945312,-0.7499038696289062,-0.3607330322265625,0.09310760498046858,0.5645721435546872,0.807342529296875,1.1132537841796875,1.4137420654296875,1.7814224243164056,3.012345123291015,3.4822322845458986,4.188776245117185
MAM,0,418,0.2609201356440641,5.66375847643489,-11.508832550048828,-9.735842514038087,-8.71579475402832,-7.328656005859375,-6.321868515014649,-4.768560791015625,-3.532602310180664,-2.8678256988525392,-1.3544525146484372,0.2572956085205078,1.6736831665039062,2.876679229736328,3.8168182373046875,4.77811737060547,6.182691955566406,7.785205352783208,10.044783782958982,11.62875337600708,13.454466934204094
MAM,1,418,0.1916185545122795,5.295116453077449,-10.374319458007813,-9.267188453674317,-8.454663467407226,-6.600463104248047,-5.451881790161133,-4.573367309570312,-3.5146474838256836,-2.7873207092285157,-1.2613334655761714,0.07850837707519531,1.665914154052734,2.552164459228515,3.49166202545166,4.49620819091797,5.526905059814453,7.221274185180665,9.560260009765623,11.198805618286132,13.13359291076658
MAM,2,421,-0.0010050003885372731,5.125600231466936,-10.922015380859374,-9.163562774658203,-8.224525451660156,-6.4603729248046875,-5.4557342529296875,-4.5087738037109375,-3.4469070434570312,-2.8394317626953125,-1.4647979736328125,-0.2333984375,1.118743896484375,2.4822463989257812,3.31610107421875,4.459999084472656,5.535942077636719,6.698066711425781,8.574459075927734,10.634439468383789,13.110185241699226
MAM,3,420,0.20914297122047068,5.090314073150153,-10.441803398132324,-8.907296562194825,-7.558675003051757,-6.168684005737305,-5.145727157592773,-4.305172729492186,-3.3636531829833984,-2.6656307220458983,-1.052507019042968,0.3013877868652344,1.4091941833496093,2.635657501220703,3.3049793243408203,3.986727905273438,5.25975227355957,6.6323219299316465,9.406031524658204,11.381005382537841,12.470545419311525
MAM,4,420,0.2160539821443104,4.6682722031018224,-9.638719444274903,-8.047175216674805,-7.165627670288086,-5.732053375244139,-4.7387701034545895,-4.008015441894531,-3.230714797973633,-2.3338863372802736,-0.9630783081054679,0.17868804931640625,1.1337471008300768,2.4419754028320293,3.279592514038086,3.941023254394533,5.316156578063964,6.3062255859375025,7.86863803863525,9.967899322509764,11.608834762573242
MAM,5,411,0.08637672405753409,4.534722929069385,-9.213968658447266,-7.9661712646484375,-7.213531494140625,-5.861175537109375,-4.962152481079102,-3.6253814697265625,-3.0349979400634766,-2.4740371704101562,-1.2934417724609375,0.0785980224609375,1.1830825805664062,2.195171356201172,2.909982681274414,3.8908920288085938,4.8373260498046875,6.086997985839844,8.12359619140625,9.017057418823242,11.166618728637683
MAM,6,386,0.1106726939937612,4.481929094511487,-8.6056884765625,-7.264233112335205,-6.6592254638671875,-5.594295501708984,-4.841208457946777,-3.6129608154296875,-2.8305702209472656,-2.3656349182128906,-1.3981781005859375,-0.03381156921386719,0.869537353515625,2.049417495727539,2.628896713256836,3.566925048828125,4.814818382263184,5.996147155761719,8.236146926879883,9.735921382904053,11.223714447021457
MAM,7,373,-0.27118833321988095,4.258302052763204,-8.32503387451172,-7.2441162109375,-6.724317932128907,-5.714733123779297,-4.689505767822266,-3.992945861816406,-3.1685714721679688,-2.6255455017089844,-1.8026283264160154,-0.41208648681640625,0.7962524414062498,1.759749603271484,2.3875808715820312,3.2539215087890634,4.206382751464844,5.1464591979980465,6.760149383544913,8.779884338378901,11.024329528808588
